causal_start station_name,casual_num_rides,member_start_station_name,member_num_rides
Streeter Dr & Grand Ave,36482,Clark St & Elm St,23399
Lake Shore Dr & Monroe St,28034,Wells St & Concord Ln,18154
Millennium Park,25185,Broadway & Barry Ave,17944
Theater on the Lake,18454,Dearborn St & Erie St,17689
Michigan Ave & Oak St,18346,St. Clair St & Erie St,17614
Lake Shore Dr & North Blvd,17193,Theater on the Lake,17459
Indiana Ave & Roosevelt Rd,16389,Kingsbury St & Kinzie St,17277
Michigan Ave & Lake St,14309,Wells St & Elm St,16937
Clark St & Elm St,13977,Wells St & Huron St,16524
Shedd Aquarium,13719,Lake Shore Dr & North Blvd,16013
