casual_start_station_name,causal_avg_time,member_start_station_name,member_avg_time
Kostner Ave & Lake St,920,W Oakdale Ave & N Broadway,204
Clyde Ave & 87th St,860,Racine Ave & 61st St,150
Kenton Ave & Madison St,752,Marshfield Ave & 59th St,102
Ashland Ave & 63rd St,741,Kenton Ave & Madison St,100
Laramie Ave & Kinzie St,706,California Ave & Lake St,94
Ellis Ave & 83rd St,576,Cherry Ave & Blackhawk St,73
East End Ave & 87th St,520,Kedzie Ave & Foster Ave,70
Calumet Ave & 71st St,460,Warren Park West,66
Carpenter St & 63rd St,407,Eberhart Ave & 131st St,63
Kedzie Ave & Roosevelt Rd,380,Western Ave & Granville Ave,62
